Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein BZZ01_03565 [Nostocales cyanobacterium HT-58-2],Nostocales cyanobacterium HT-58-2,NA,1940762,77.9,77.9,76%,3e-16,32.50,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARV57833.1?report=genbank&log$=prottop&blast_rank=774&RID=2AYZ3C4E016"",""ARV57833.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfitobacterium hafniense],Desulfitobacterium hafniense,NA,49338,77.1,77.1,84%,3e-16,37.35,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005814917.1?report=genbank&log$=prottop&blast_rank=775&RID=2AYZ3C4E016"",""WP_005814917.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfitobacterium hafniense],Desulfitobacterium hafniense,NA,49338,77.1,77.1,84%,3e-16,37.35,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015942575.1?report=genbank&log$=prottop&blast_rank=776&RID=2AYZ3C4E016"",""WP_015942575.1"")"
hypothetical protein DCMF_19075 [Peptococcaceae bacterium DCMF],Peptococcaceae bacterium DCMF,NA,1761012,77.1,77.1,85%,3e-16,32.14,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATW26574.1?report=genbank&log$=prottop&blast_rank=777&RID=2AYZ3C4E016"",""ATW26574.1"")"
Nif11-like leader peptide family RiPP precursor [Calothrix sp. NIES-2098],Calothrix sp. NIES-2098,NA,1954171,77.1,77.1,91%,3e-16,23.33,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096586508.1?report=genbank&log$=prottop&blast_rank=778&RID=2AYZ3C4E016"",""WP_096586508.1"")"
Nif11-like leader peptide family RiPP precursor [Gloeocapsopsis crepidinum],Gloeocapsopsis crepidinum,NA,693223,77.1,77.1,85%,3e-16,21.43,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099701707.1?report=genbank&log$=prottop&blast_rank=779&RID=2AYZ3C4E016"",""WP_099701707.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,77.1,77.1,77%,3e-16,25.00,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186539909.1?report=genbank&log$=prottop&blast_rank=780&RID=2AYZ3C4E016"",""WP_186539909.1"")"
Nif11-like leader peptide family RiPP precursor [Tolypothrix bouteillei],Tolypothrix bouteillei,NA,1246981,78.6,78.6,98%,3e-16,25.62,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038090381.1?report=genbank&log$=prottop&blast_rank=781&RID=2AYZ3C4E016"",""WP_038090381.1"")"
Nif11-like leader peptide family natural product precursor [Chlorobiaceae bacterium],Chlorobiaceae bacterium,NA,2067991,77.1,77.1,98%,3e-16,31.96,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NTW83236.1?report=genbank&log$=prottop&blast_rank=782&RID=2AYZ3C4E016"",""NTW83236.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,77.1,77.1,84%,3e-16,25.30,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186468844.1?report=genbank&log$=prottop&blast_rank=783&RID=2AYZ3C4E016"",""WP_186468844.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema hofmannii],Scytonema hofmannii,NA,34078,78.6,78.6,98%,3e-16,27.35,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017748601.1?report=genbank&log$=prottop&blast_rank=784&RID=2AYZ3C4E016"",""WP_017748601.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Nostocales],Nostocales,NA,1161,77.1,77.1,91%,3e-16,22.22,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190592881.1?report=genbank&log$=prottop&blast_rank=785&RID=2AYZ3C4E016"",""WP_190592881.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,77.9,77.9,81%,3e-16,20.00,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082823312.1?report=genbank&log$=prottop&blast_rank=786&RID=2AYZ3C4E016"",""WP_082823312.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,77.5,77.5,92%,3e-16,23.08,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115118817.1?report=genbank&log$=prottop&blast_rank=787&RID=2AYZ3C4E016"",""WP_115118817.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,77.1,77.1,82%,3e-16,33.33,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082823447.1?report=genbank&log$=prottop&blast_rank=788&RID=2AYZ3C4E016"",""WP_082823447.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,77.1,77.1,94%,3e-16,25.81,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186538762.1?report=genbank&log$=prottop&blast_rank=789&RID=2AYZ3C4E016"",""WP_186538762.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,77.1,77.1,90%,3e-16,24.72,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537891.1?report=genbank&log$=prottop&blast_rank=790&RID=2AYZ3C4E016"",""WP_186537891.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,77.5,77.5,87%,4e-16,25.58,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066911713.1?report=genbank&log$=prottop&blast_rank=791&RID=2AYZ3C4E016"",""WP_066911713.1"")"
Nif11-like leader peptide family natural product precursor [Planctomycetes bacterium],Planctomycetes bacterium,NA,2026780,77.9,77.9,77%,4e-16,29.87,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/REJ91413.1?report=genbank&log$=prottop&blast_rank=792&RID=2AYZ3C4E016"",""REJ91413.1"")"
nif11-like leader peptide domain protein [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,77.1,77.1,76%,4e-16,29.33,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNI53427.1?report=genbank&log$=prottop&blast_rank=793&RID=2AYZ3C4E016"",""QNI53427.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,77.1,77.1,78%,4e-16,28.57,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186538765.1?report=genbank&log$=prottop&blast_rank=794&RID=2AYZ3C4E016"",""WP_186538765.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. WHI],Nostoc sp. WHI,NA,2650611,76.7,76.7,91%,4e-16,23.33,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196516899.1?report=genbank&log$=prottop&blast_rank=795&RID=2AYZ3C4E016"",""WP_196516899.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,76.7,76.7,83%,4e-16,30.49,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540424.1?report=genbank&log$=prottop&blast_rank=796&RID=2AYZ3C4E016"",""WP_186540424.1"")"
Nif11-like leader peptide family natural product precursor [Chlorobium sp.],Chlorobium sp.,NA,1095,77.1,77.1,84%,4e-16,27.71,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLU83849.1?report=genbank&log$=prottop&blast_rank=797&RID=2AYZ3C4E016"",""TLU83849.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,77.1,77.1,82%,4e-16,25.88,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114992761.1?report=genbank&log$=prottop&blast_rank=798&RID=2AYZ3C4E016"",""WP_114992761.1"")"
Nif11-like leader peptide family RiPP precursor [Calothrix sp. NIES-2098],Calothrix sp. NIES-2098,NA,1954171,78.6,78.6,98%,4e-16,29.57,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096592774.1?report=genbank&log$=prottop&blast_rank=799&RID=2AYZ3C4E016"",""WP_096592774.1"")"
lantipeptide [Cyanobium sp. NAT70],Cyanobium sp. NAT70,NA,2024872,77.1,77.1,85%,4e-16,26.19,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAR06771.1?report=genbank&log$=prottop&blast_rank=800&RID=2AYZ3C4E016"",""MAR06771.1"")"
Nif11-like leader peptide family RiPP precursor [Fischerella sp. NIES-4106],Fischerella sp. NIES-4106,NA,2005456,76.7,76.7,84%,4e-16,25.30,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096678024.1?report=genbank&log$=prottop&blast_rank=801&RID=2AYZ3C4E016"",""WP_096678024.1"")"
Nif11-like leader peptide family RiPP precursor [Phormidium sp. LEGE 05292],Phormidium sp. LEGE 05292,NA,2777964,76.7,76.7,85%,4e-16,25.00,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193983496.1?report=genbank&log$=prottop&blast_rank=802&RID=2AYZ3C4E016"",""WP_193983496.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,76.7,76.7,73%,4e-16,31.94,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537897.1?report=genbank&log$=prottop&blast_rank=803&RID=2AYZ3C4E016"",""WP_186537897.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfosporosinus orientis],Desulfosporosinus orientis,NA,1563,76.7,76.7,90%,5e-16,34.83,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014186056.1?report=genbank&log$=prottop&blast_rank=804&RID=2AYZ3C4E016"",""WP_014186056.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,76.7,76.7,87%,5e-16,26.14,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186596302.1?report=genbank&log$=prottop&blast_rank=805&RID=2AYZ3C4E016"",""WP_186596302.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc punctiforme],Nostoc punctiforme,NA,272131,77.1,77.1,76%,5e-16,25.33,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012409656.1?report=genbank&log$=prottop&blast_rank=806&RID=2AYZ3C4E016"",""WP_012409656.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIO4A3],Moorea sp. SIO4A3,NA,2607836,76.7,76.7,81%,5e-16,33.33,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO45845.1?report=genbank&log$=prottop&blast_rank=807&RID=2AYZ3C4E016"",""NEO45845.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,76.7,76.7,77%,5e-16,34.21,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074159397.1?report=genbank&log$=prottop&blast_rank=808&RID=2AYZ3C4E016"",""WP_074159397.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,76.7,76.7,82%,5e-16,25.93,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114994137.1?report=genbank&log$=prottop&blast_rank=809&RID=2AYZ3C4E016"",""WP_114994137.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Prochlorococcus],unclassified Prochlorococcus,NA,2627481,77.5,77.5,82%,5e-16,25.93,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_081939890.1?report=genbank&log$=prottop&blast_rank=810&RID=2AYZ3C4E016"",""WP_081939890.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. T09],Nostoc sp. T09,NA,1932621,76.7,76.7,91%,5e-16,21.11,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086689709.1?report=genbank&log$=prottop&blast_rank=811&RID=2AYZ3C4E016"",""WP_086689709.1"")"
Nif11-like leader peptide family RiPP precursor [Desmonostoc muscorum],Desmonostoc muscorum,NA,1179,76.7,76.7,77%,5e-16,35.53,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193915811.1?report=genbank&log$=prottop&blast_rank=812&RID=2AYZ3C4E016"",""WP_193915811.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,76.7,76.7,76%,5e-16,26.67,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063416344.1?report=genbank&log$=prottop&blast_rank=813&RID=2AYZ3C4E016"",""WP_063416344.1"")"
hypothetical protein A2008_03065 [Candidatus Wallbacteria bacterium GWC2_49_35],Candidatus Wallbacteria bacterium GWC2_49_35,NA,1817813,77.1,77.1,78%,5e-16,25.64,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGM03128.1?report=genbank&log$=prottop&blast_rank=814&RID=2AYZ3C4E016"",""OGM03128.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfosporosinus youngiae],Desulfosporosinus youngiae,NA,339862,76.7,76.7,79%,5e-16,32.05,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007781930.1?report=genbank&log$=prottop&blast_rank=815&RID=2AYZ3C4E016"",""WP_007781930.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Prochlorococcus],unclassified Prochlorococcus,NA,2627481,76.7,76.7,80%,5e-16,25.32,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063419657.1?report=genbank&log$=prottop&blast_rank=816&RID=2AYZ3C4E016"",""WP_063419657.1"")"
Nif11-like leader peptide family RiPP precursor [Coleofasciculus sp. FACHB-542],Coleofasciculus sp. FACHB-542,NA,2692787,76.3,76.3,84%,5e-16,24.10,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190537021.1?report=genbank&log$=prottop&blast_rank=817&RID=2AYZ3C4E016"",""WP_190537021.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. ROS8604],Synechococcus sp. ROS8604,NA,1442557,76.7,76.7,76%,5e-16,26.67,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186545801.1?report=genbank&log$=prottop&blast_rank=818&RID=2AYZ3C4E016"",""WP_186545801.1"")"
Nif11-like leader peptide family RiPP precursor [Coleofasciculus sp. FACHB-1120],Coleofasciculus sp. FACHB-1120,NA,2692783,76.3,76.3,84%,5e-16,22.89,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190814640.1?report=genbank&log$=prottop&blast_rank=819&RID=2AYZ3C4E016"",""WP_190814640.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. PCC 7107],Nostoc sp. PCC 7107,NA,317936,76.3,76.3,91%,5e-16,25.56,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015113062.1?report=genbank&log$=prottop&blast_rank=820&RID=2AYZ3C4E016"",""WP_015113062.1"")"
Nitrogen fixation protein of unknown function [Synechococcus sp. MIT S9504],Synechococcus sp. MIT S9504,NA,1801628,77.9,77.9,81%,5e-16,20.00,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZR87334.1?report=genbank&log$=prottop&blast_rank=821&RID=2AYZ3C4E016"",""KZR87334.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,76.7,76.7,86%,5e-16,24.71,92,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186469224.1?report=genbank&log$=prottop&blast_rank=822&RID=2AYZ3C4E016"",""WP_186469224.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema sp. UIC 10036],Scytonema sp. UIC 10036,NA,2304196,78.3,78.3,98%,5e-16,29.06,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155751389.1?report=genbank&log$=prottop&blast_rank=823&RID=2AYZ3C4E016"",""WP_155751389.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,76.7,76.7,85%,5e-16,22.62,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540239.1?report=genbank&log$=prottop&blast_rank=824&RID=2AYZ3C4E016"",""WP_186540239.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'],Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',NA,1618022,76.3,76.3,91%,5e-16,23.33,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104906221.1?report=genbank&log$=prottop&blast_rank=825&RID=2AYZ3C4E016"",""WP_104906221.1"")"
Nif11-like leader peptide family RiPP precursor [Nodularia spumigena],Nodularia spumigena,NA,70799,76.3,76.3,91%,5e-16,24.44,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063872404.1?report=genbank&log$=prottop&blast_rank=826&RID=2AYZ3C4E016"",""WP_063872404.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9509],Synechococcus sp. MIT S9509,NA,1801630,76.7,76.7,94%,5e-16,23.66,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066906218.1?report=genbank&log$=prottop&blast_rank=827&RID=2AYZ3C4E016"",""WP_066906218.1"")"
Nif11-like leader peptide family natural product precursor [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,NA,2026735,77.1,77.1,94%,5e-16,35.48,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RJR43267.1?report=genbank&log$=prottop&blast_rank=828&RID=2AYZ3C4E016"",""RJR43267.1"")"
Nif11-like leader peptide family natural product precursor [Nostoc sp. 'Peltigera malacea cyanobiont' DB3992],Nostoc sp. 'Peltigera malacea cyanobiont' DB3992,NA,1206980,76.3,76.3,91%,5e-16,23.33,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PHM11423.1?report=genbank&log$=prottop&blast_rank=829&RID=2AYZ3C4E016"",""PHM11423.1"")"
Nif11-like leader peptide family RiPP precursor [Hyella patelloides],Hyella patelloides,NA,1982969,77.1,77.1,77%,5e-16,36.71,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144867906.1?report=genbank&log$=prottop&blast_rank=830&RID=2AYZ3C4E016"",""WP_144867906.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcaceae bacterium WB9_2_112],Synechococcaceae bacterium WB9_2_112,NA,2448806,76.7,76.7,82%,6e-16,22.22,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NDC35032.1?report=genbank&log$=prottop&blast_rank=831&RID=2AYZ3C4E016"",""NDC35032.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. LEGE 06077],Nostoc sp. LEGE 06077,NA,915325,76.3,76.3,91%,6e-16,28.89,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193900667.1?report=genbank&log$=prottop&blast_rank=832&RID=2AYZ3C4E016"",""WP_193900667.1"")"
Nif11-like leader peptide family RiPP precursor [aff. Roholtiella sp. LEGE 12411],aff. Roholtiella sp. LEGE 12411,NA,1828822,76.3,76.3,91%,6e-16,22.22,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194004941.1?report=genbank&log$=prottop&blast_rank=833&RID=2AYZ3C4E016"",""WP_194004941.1"")"
Nif11-like leader peptide family RiPP precursor [Fischerella sp. PCC 9431],Fischerella sp. PCC 9431,NA,1173023,76.3,76.3,84%,6e-16,25.30,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_026720355.1?report=genbank&log$=prottop&blast_rank=834&RID=2AYZ3C4E016"",""WP_026720355.1"")"
bacteriocin [Nitrospirae bacterium HCH-1],Nitrospirae bacterium HCH-1,NA,1748249,76.7,76.7,82%,6e-16,37.80,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KWT94654.1?report=genbank&log$=prottop&blast_rank=835&RID=2AYZ3C4E016"",""KWT94654.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,76.7,76.7,76%,6e-16,28.00,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066906476.1?report=genbank&log$=prottop&blast_rank=836&RID=2AYZ3C4E016"",""WP_066906476.1"")"
TPA: Nif11-like leader peptide family natural product precursor [Pelotomaculum sp.],Pelotomaculum sp.,NA,2053590,76.7,76.7,83%,6e-16,37.80,100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBC91998.1?report=genbank&log$=prottop&blast_rank=837&RID=2AYZ3C4E016"",""HBC91998.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfosporosinus orientis],Desulfosporosinus orientis,NA,1563,76.3,76.3,79%,7e-16,33.33,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014186055.1?report=genbank&log$=prottop&blast_rank=838&RID=2AYZ3C4E016"",""WP_014186055.1"")"
Nif11-like leader peptide family natural product precursor [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,NA,2026735,76.7,76.7,83%,7e-16,40.24,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RJR43264.1?report=genbank&log$=prottop&blast_rank=839&RID=2AYZ3C4E016"",""RJR43264.1"")"
Nif11-like leader peptide family natural product precursor [Nostocales cyanobacterium HT-58-2],Nostocales cyanobacterium HT-58-2,NA,1940762,76.3,76.3,84%,7e-16,25.30,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARV59956.1?report=genbank&log$=prottop&blast_rank=840&RID=2AYZ3C4E016"",""ARV59956.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Nostocales],Nostocales,NA,1161,76.3,76.3,91%,7e-16,25.56,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096582991.1?report=genbank&log$=prottop&blast_rank=841&RID=2AYZ3C4E016"",""WP_096582991.1"")"
Nif11-like leader peptide family natural product precursor [Symploca sp. SIO2E9],Symploca sp. SIO2E9,NA,2607812,77.5,77.5,79%,7e-16,35.44,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEP00295.1?report=genbank&log$=prottop&blast_rank=842&RID=2AYZ3C4E016"",""NEP00295.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,76.3,76.3,81%,7e-16,27.50,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537952.1?report=genbank&log$=prottop&blast_rank=843&RID=2AYZ3C4E016"",""WP_186537952.1"")"
Nif11-like leader peptide family natural product precursor [Okeania sp. SIO2C9],Okeania sp. SIO2C9,NA,2607791,77.5,77.5,79%,7e-16,35.44,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEQ78583.1?report=genbank&log$=prottop&blast_rank=844&RID=2AYZ3C4E016"",""NEQ78583.1"")"
hypothetical protein [Brasilonema sp. UFV-L1],Brasilonema sp. UFV-L1,NA,2234130,77.1,77.1,81%,7e-16,32.53,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NMG07823.1?report=genbank&log$=prottop&blast_rank=845&RID=2AYZ3C4E016"",""NMG07823.1"")"
TPA: Nif11-like leader peptide family natural product precursor [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,NA,1913989,77.5,77.5,76%,8e-16,25.33,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIL17720.1?report=genbank&log$=prottop&blast_rank=846&RID=2AYZ3C4E016"",""HIL17720.1"")"
Nif11-like leader peptide family RiPP precursor [Thiorhodococcus minor],Thiorhodococcus minor,NA,57489,77.1,77.1,76%,8e-16,32.00,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_164456430.1?report=genbank&log$=prottop&blast_rank=847&RID=2AYZ3C4E016"",""WP_164456430.1"")"
Nif11-like leader peptide family RiPP precursor [Aliterella atlantica],Aliterella atlantica,NA,1827278,75.9,75.9,94%,8e-16,20.43,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045053330.1?report=genbank&log$=prottop&blast_rank=848&RID=2AYZ3C4E016"",""WP_045053330.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,76.3,76.3,77%,8e-16,28.95,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537635.1?report=genbank&log$=prottop&blast_rank=849&RID=2AYZ3C4E016"",""WP_186537635.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Coleofasciculus],unclassified Coleofasciculus,NA,2692782,75.9,75.9,84%,8e-16,24.10,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190415279.1?report=genbank&log$=prottop&blast_rank=850&RID=2AYZ3C4E016"",""WP_190415279.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,76.3,76.3,89%,8e-16,21.11,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011129621.1?report=genbank&log$=prottop&blast_rank=851&RID=2AYZ3C4E016"",""WP_011129621.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,75.9,75.9,81%,8e-16,25.00,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041384739.1?report=genbank&log$=prottop&blast_rank=852&RID=2AYZ3C4E016"",""WP_041384739.1"")"
Nif11-type precursor [Synechococcus sp. PCC 9341],Synechococcus sp. PCC 9341,NA,2099386,76.7,76.7,79%,8e-16,36.05,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79521.1?report=genbank&log$=prottop&blast_rank=853&RID=2AYZ3C4E016"",""AVH79521.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.9,75.9,88%,8e-16,24.14,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537680.1?report=genbank&log$=prottop&blast_rank=854&RID=2AYZ3C4E016"",""WP_186537680.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BS56D],Synechococcus sp. BS56D,NA,2055944,76.3,76.3,77%,9e-16,23.68,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131454658.1?report=genbank&log$=prottop&blast_rank=855&RID=2AYZ3C4E016"",""WP_131454658.1"")"
